ФИО лица выдавшего Поручение,Дата Поручения,Номер Поручения,Досудебное урегулирование,Дата Претензии/Уведомления,Номер Претензии/Уведомления,Номер Дела,Исполнитель от Юридического отдела (ФИО),Дата Иска,Иск - Входящий/Исходящий,Истец,Ответчик,Третьи лица,Исковое требование,Предмет Искового требования,Основной долг (Сумма Иска предъявленного Москомнаследием),Пени (Пени Иска предъявленного Москомнаследием),Комментарий,Инстанция,Дата судебного заседания,Время судебного заседания,Результат рассмотрения судебного заседания,Вид Решения Суда,Дата решения Суда,Основной долг (По решению суда),Пени (По решению суда),Примечание,Идентификатор,Аппеляционная инстанция,Кассационная инстанция,Номер Исполнительного листа,Дата поступления Исполнительного листа,Дата направления Исполнительного листа,Отдел службы судебных приставов,Комментарий к исполнительному производству,Дата исполнения решения,Результат исполнения,key,link
,"06/20/12 00:00:00","16-02-413/2",,,,"А40-54134/12-54-255","Рутто Д.Р.","06/07/12 00:00:00","Входящий","ТУ Росимущества в Москве","ООО ""Большой Формат""","Москомнаследие, Государственная корпорация ""Ростехнологии"", Министерство культуры РФ","Иное…","истребование имущества из чужого незаконного владения путем выселения",0.0000,0.0000,,"Первая инстанция","06/26/12 00:00:00","11:40:00",,,,0.0000,0.0000,,,,,,,,,,,,1341,3960
,"06/20/12 00:00:00","16-02-418/2",,,,"А40-54122/12-54-249","Рутто Д.Р.","06/07/12 00:00:00","Входящий","ТУ Росимущества в Москве","ООО ""Компания ""Электромонтаж""","Москомнаследие, Государственная корпорация ""Ростехнологии"", Министерство культуры РФ","Иное…","истребование имущества из чужого незаконного владения путем выселения",0.0000,0.0000,,"Первая инстанция","06/26/12 00:00:00","10:00:00",,,,0.0000,0.0000,,,,,,,,,,,,1342,3961
,"06/25/12 00:00:00","16-02-3000/7-(38)",,,,"А40-102929/11-130-633 (админ)","Киселев Н.Д.","09/19/11 00:00:00","Входящий","ООО ПКП ""Росагростройматериалы""","Москомнаследие",,"Иное…","признание незаконным и отмена постановления Москомнаследия от 19.07.11 № 16-86 АД 2011",0.0000,0.0000,"Кассационная жалоба ООО ПКП ""Росагростройматериалы""","Апелляция","02/14/12 00:00:00","9:00:00","в удовлетворении заявления отказано","Иное…","11/07/11 00:00:00",0.0000,0.0000,,,"Решение в силе (21.02.2012)",,,,,,"Исполнительное производство по делу возбуждено",,,1343,3962
,"06/26/12 00:00:00","16-09-5/9-(175)",,"11/23/11 00:00:00","16-09-5/9-230","А40-86347/12-62-801","Спиридонов А.А.","06/19/12 00:00:00","Входящий","ООО ""Реставрационно-строительная компания ""Архитектурное наследие""","Москомнаследие","Федеральная антимонопольная служба, ГАУ г.Москвы ""Мосгосэкспертиза""","Иное…","взыскание суммы незаконно удержанных денежных средств по оплате выполненных работ в размере 768 305, 90 руб, суммы госпошлины в размере 20 366,12 руб, а также обязание признать неправомерных требование об уплате штрафных санкций",0.0000,0.0000,"Ходатайство ООО ""Реставрационно-строительная компания ""Архитектурное наследие"" об отложении судебного заседания. Определение о наложении штрафа на ГАУг.Москвы ""Мосгосэкспертиза"".Апелляция.Апелляционная жалоба ООО ""Реставрационно-строительная компания ""Архитектурное наследие"".Определение от 24.04.13 об исправлении арифметической ошибки. В удовлетворении кассационной жалобы отказано.","Кассация","10/31/13 00:00:00","11:00:00","встречный иск удовлетворен, иск удовлетворен, взаимозачет 50.000 руб.","Иное…","04/24/13 00:00:00",0.0000,0.0000,,,"Решение отменено, удовлетворено в части","Решение, постановление в силе.",,,,,,,,1344,3917
,"06/26/12 00:00:00","16-09-5/9-(174)",,"12/26/12 00:00:00","16-09-5/9-247","А40-86327/12-58-817","Спиридонов А.А.","06/19/12 00:00:00","Входящий","ООО ""Реставрационно-строительная компания ""Архитектурное наследие""","Москомнаследие",,"Иное…","взыскание суммы незаконно удержанных денежных средств по оплате выполненных работ в размере 873 698, 24 руб, суммы госпошлины в размере 22 473,96 руб, а также обязание признать неправомерных требование об уплате штрафных санкций",0.0000,0.0000,"Встречное исковое требование МГН о взыскании пени в размере 873 698,24. Отзыв на апелляционную жалобу Мосгорнаследия.Кассация.","Кассация","04/23/13 00:00:00","16:30:00","иск удовлетворен, взыскано с ДКН 873 698,24, госпошлину 24 473,96, в удовлетворении встречного иска отказано","Иное…","11/28/12 00:00:00",0.0000,0.0000,,,"Рещение в силе (12.02.2013)","Решение,Постановление в силе (25.04.2013)",,,,,,,,1345,3917
,"06/04/13 00:00:00","16-11-388/3",,,,"А40-9163/13-64-87","Пефтиева О.И.","04/11/13 00:00:00","Входящий","Префектура ЮАО","МГОМЗ ""Коломенское""","Москомнаследие","Иное...","о признании права собственности",0.0000,0.0000,,"Первая инстанция","06/13/13 00:00:00","10:30:00","иск удовлетворен","7.02.2014",,0.0000,0.0000,,,,,,,,,,,,1579,4082
,"10/25/13 00:00:00","16-11-548",,,,,"Пефтиева О.И.","07/18/13 00:00:00","Исходящий","Москомнаследие","ООО ""НИК""",,"Взыскать","О о привлечении ООО ""НИК"" к административной ответственности в виде штрафа",0.0000,0.0000,,"Первая инстанция",,,,,,0.0000,0.0000,,,,,,,,,,,,1580,4083
,"10/28/13 00:00:00","16-11-552/3",,,,"2-6661/13 2-500/14 2-5605/2014","Пефтиева О.И.","09/26/13 00:00:00","Исходящий","Москомнаследие","Александрова К.О. Годберг Ю.И. Балк И.Б.","ПМ, ДГИ, Департамент по конкурентной политике города Москвы","Иное...","изъятие объекта культурного наследия для последующей продажи с публичных торгов (об отмене обеспечительных мер)",0.0000,0.0000,"Исковое заявление. Апелляционная жалоба, извещение с приложениями (+копия в адрес ПМ)","Первая инстанция","12/13/16 00:00:00","09:15:00","иск удовлетворено. Решение, дополнительное решение оставлены без изменения, а/ж - без удовлетворения",,,0.0000,0.0000,,,,,,,,,,,,1581,4084
,"10/29/13 00:00:00","16-11-312/3-5",,,,"А40-131870/9-1254","Пефтиева О.И.","10/21/13 00:00:00","Входящий","ФГБУК ""Государственный музей-усадьба ""Архангельское""","Администрация Красногорского муниципального р-на МО, ЗАО ""Зеленый магазин""","ТУФА по управлению гос имуществом, Министерство культуры РФ, УФС го рег и кадастра, ФГБУ ""Федеральная кадастровая палата, ЗАО ""ГИР"", ДГИ,ООО ""ГИПЕРГЛОБУС""","Иное...","о признании договора аренды недействительным",0.0000,0.0000,,"Первая инстанция","05/07/14 00:00:00","14:00:00",,,,0.0000,0.0000,,,,,,,,,,,,1582,4085
,"10/28/13 00:00:00","16-11-549/3",,,,"А40-150913/2013-135-1346","Шастун А.В.","10/23/13 00:00:00","Входящий","Префектура ЦАО","ООО ""Вечерний Силуэт""","Москомнаследие, Росреестр, Комитет гос. И строителного надзора г. Москвы, Комитет по архитектуре и градостроительству города москвы","Снос самовольной постройки","О сносе самовольной постройки",0.0000,0.0000,"назначена судебная экспертиза","Первая инстанция","04/25/19 00:00:00","11:00:00",,,,0.0000,0.0000,,,,,,,,,,,,1583,4086
,,,,,,,,,,,,,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,1584,3708
,"07/07/13 00:00:00","16-11-334/3-3",,,,"2-4416/2013","Пефтиева О.И.","07/07/13 00:00:00","Входящий","Московско-Рязанская транспортная прокуратура Московской межрегиональной транспортной прокуратуры","ОАО ""РЖД""","Москомнаследие","Иное...","Прочие исковые дела",0.0000,0.0000,,"Первая инстанция","07/12/13 00:00:00","12:45:00","ИСТЕЦ ОТКАЗАЛСЯ ОТ ИСКА и отказ принят судом","Иное...","09/18/13 00:00:00",0.0000,0.0000,,,,,,,,,,,,1585,4087
,"07/18/13 00:00:00","16-11-453/3",,,,"11-19505","Пефтиева О.И.","07/18/13 00:00:00","Исходящий","Москомнаследие",,,,,0.0000,0.0000,,"Первая инстанция","08/14/13 00:00:00","9:35:00",,,,0.0000,0.0000,,,,,,,,,,,,1586,4088
,"10/25/13 00:00:00","16-11-498/3",,,,"2-3071/13 Хамовнический районный суд","Шастун А.В.","09/05/13 00:00:00","Исходящий","Москомнаследие","Киселев А.С.","Правительство Москвы, ДГИ, Департамент по конкурентной политике, Росреестр.","Иное...","об обязании провести работы на окн",0.0000,0.0000,"Определение о принятии обеспечительных мер.","Апелляция","12/14/16 00:00:00","11:35:00","требования мосгорнаследия удовлетворены",,"03/31/14 00:00:00",0.0000,0.0000,,,,,,,,,,,,1587,3774
,"06/19/13 00:00:00","16-11-409/3",,,,"2-3977/2013","Пефтиева О.И.","12/26/12 00:00:00","Входящий","Метсная религиозная оргнаизация-Евангелическо-Лютеранская община сввю Петра и Павла в г. Москве","Москомнаследие",,"Иное...","Жалобы на неправ. дейст. (безд.) - должностных лиц, государственных и муниципальных служащих",0.0000,0.0000,,"Первая инстанция","06/13/13 00:00:00","9:00:00","Отказано в удовлетворении иска","Иное...","06/13/13 00:00:00",0.0000,0.0000,,,,,,,,,,,,1588,3708
,"05/28/13 00:00:00","16-11-378/3",,,,"А40-45694/13","Пефтиева О.И.","04/19/13 00:00:00","Исходящий","Москомнаследие","ООО ""Старинный интерьер""",,"Взыскать","о взыскании 412 500 руб.",0.0000,0.0000,"Постановление пристава-исполнителя","Первая инстанция","06/27/13 00:00:00","10:10:00","Иск удовлетворен","Взыскать","07/04/13 00:00:00",0.0000,0.0000,,,,,,,,,,,,1589,4089
,"05/23/13 00:00:00","16-11-369/3",,,,"11-11296","Пефтиева О.И.","05/22/13 00:00:00","Входящий",,,"Москомнаследие",,,0.0000,0.0000,,"Первая инстанция","04/18/13 00:00:00","11:00:00",,,,0.0000,0.0000,,,,,,,,,,,,1590,4088
,"06/10/13 00:00:00","16-11-395/3",,,,"11-17995","Пефтиева О.И.","06/24/13 00:00:00","Входящий",,,"Москомнаследие",,,0.0000,0.0000,,"Первая инстанция","06/24/13 00:00:00","13:00:00",,,,0.0000,0.0000,,,,,,,,,,,,1591,4088
,"05/27/13 00:00:00","16-11-374/3",,,,"11-11428","Пефтиева О.И.","05/27/13 00:00:00","Входящий",,,"Москомнаследие",,,0.0000,0.0000,,"Первая инстанция","04/26/13 00:00:00","13:40:00",,,,0.0000,0.0000,,,,,,,,,,,,1592,4088
,"05/31/13 00:00:00","16-11-380/3-1",,,,,"Пефтиева О.И.","05/27/13 00:00:00","Входящий",,,"Москомнаследие","Иное...",,0.0000,0.0000,,"Первая инстанция (Пресненский суд)","05/27/13 00:00:00","15:45:00",,,,0.0000,0.0000,,,,,,,,,,,,1593,4016
,"06/05/13 00:00:00","16-11-389/3",,,,,"Пефтиева О.И.","05/15/13 00:00:00","Входящий",,,"Москомнаследие","Иное...",,0.0000,0.0000,,"Первая инстанция(Головинский р-ный)","05/15/13 00:00:00","17:00:00",,,,0.0000,0.0000,,,,,,,,,,,,1594,4090
,"07/16/13 00:00:00","16-11-447/3",,,,"7с","Пефтиева О.И.","07/16/13 00:00:00","Входящий",,,"Москомнаследие",,,0.0000,0.0000,,"Первая инстанция(Кузьминский р-ный)","07/29/13 00:00:00","9:40:00",,,,0.0000,0.0000,,,,,,,,,,,,1595,4091
,"10/31/13 00:00:00","16-11-560/3-1",,,,"Замоскворецкий р-ный суд","Бычкова А.В.","10/21/13 00:00:00","Входящий","Степанова Мария Александровна","Москомнаследие","ООО ""НАТАЛИ-ДИЕТА""","Иное...","О признании недействительным заключения о допустимости переустройства и перепланировки нежилого помещения",0.0000,0.0000,"Объяснения по заявлению о признании недействительным заключения о допустимости переустройства и перепланировки нежилого помещения.","Первая инстанция",,,,,,0.0000,0.0000,,,,,,,,,,,,1596,4092
,"10/31/13 00:00:00","16-11-560/3",,,,"2-7648 Замоскворецкий р-ный суд","Бычкова А.В.","09/05/13 00:00:00","Входящий","Хабаров А.В., Харламов А.В.","Москомнаследие","ООО ""НАТАЛИ-ДИЕТА""","Иное...","О признании недействительным заключения о допустимости переустройства и перепланировки нежилого помещения",0.0000,0.0000,,"Первая инстанция","05/22/14 00:00:00","11:00:00","в иске отказано",,,0.0000,0.0000,,,,,,,,,,,,1597,4092
,"10/31/13 00:00:00","16-11-562/3",,,,"А40-141051/13-92-1294 Отзыв!!!!!!!!!!!!!","Шастун А.В.","10/14/13 00:00:00","Входящий","ИП Кондрашева В.П.","Министерство культуры","Москомнаследие, Тимерханов Е.Е., Кондрашева Е.С., Белан М.Е.","Иное...","О признании незаконным(бездействия), выразившееся в неисполнении полномочий по исключению здания из ЕГР объектов культурного наследия народов РФ и обязании инициировать процедуру исключения.",0.0000,0.0000,,"Апелляция","04/01/14 00:00:00","10:00:00","в заявлении отказано","Иное...","12/25/13 00:00:00",0.0000,0.0000,,,,,,,,,,,,1598,4093
,,,,,,"5-156/2013(Замоскворецкий р-ный суд)","Серебренникова С.А.","08/14/13 00:00:00","Исходящий","Москомнаследие","ООО ""Проектное бюро ""ПРОМСТРОЙСПРОЕКТ""",,"Иное...","о привлечении к административной ответственности по ч. 1 ст. 7.13 КоАП РФ",0.0000,0.0000,"Определение о передаче дела на рассмотрение по подведомственности.","Первая инстанция","11/22/13 00:00:00","9:30:00",,,,0.0000,0.0000,,,,,,,,,,,,1599,4094
,"01/30/14 00:00:00","16-11-109/4",,,,"5-270/2014","Серебренникова С.А.","01/30/14 00:00:00","Входящий","Москомнаследие","ФГУП ""ПромЭкс""",,"Иное...","об административном правонарушении по ч. 19 ст. 19.5 КоАП РФ.",0.0000,0.0000,,"Первая инстанция","02/06/14 00:00:00","10:00:00",,,,0.0000,0.0000,,,,,,,,,,,,1600,4087
,"11/06/13 00:00:00","16-11-563/3",,,,"2-11578/2013","Бычкова А.В.","11/06/13 00:00:00","Входящий","Московско-Рязанская транспортная прокуратура Московской межрегиональной транспортной прокуратуры","ОАО ""РЖД""","Москомнаследие","Иное...","О восстановлении памятника культурного наследия",0.0000,0.0000,,"Первая инстанция","12/08/14 00:00:00","14:00:00","в иске отказано",,,0.0000,0.0000,,,,,,,,,,,,1601,4095
,"11/07/13 00:00:00","16-11-548/3-1",,,,"А40-127382/13-152-1169","Пефтиева О.И.","11/22/13 00:00:00","Входящий","ООО ""НИК""","Москомнаследие",,"Иное..."," о признании постановления №16-77 АД 2013 от 18.07.2013 незаконным",0.0000,0.0000,,"Первая инстанция","12/20/13 00:00:00","11:40:00","в иске отказано","Иное...","01/20/14 00:00:00",0.0000,0.0000,,,,,,,,,,,,1602,4083
,"06/10/11 00:00:00","16-02-1608/7-(89)",,,,"А40-15891/11-23-134","Рутто Д.Р.","05/31/11 00:00:00","Входящий","ТУ ФАУГИ","Правительство Москвы","ФГУК ""Государственный академический театр классическогобалета под руководством Н. Касаткиной и В. Василева"";Москомнаследие; ДИгМ; Управление Росреестра по г. Москве; ДЗР; Префектура САО г.Москвы","Собственность РФ","признание права собственности РФ",0.0000,0.0000,"Определением АС от 16.08.11 привлечено в качестве третьего лица: Префектура САО г.Москвы.Апелляционная жалоба ФГБУК ""Государственный академический театр классического балета под руководством Н.Касаткиной и В.Василёва"".Апелляция.Определение о назначении собеседования и предварительного судебного заседания.Апелляционная жалоба ТУ ФАУГИ.Апелляционная жалоба ФГБУК ""Государственный академический театр классического балета под руководством Н.Касаткиной и В.Василёва"". Апелляция.Кассационная жалоба ФГБУК ""Государственный академический театр классического балета под руководством Н.Касаткиной и В.Василёва"". Кассация.Кассационная жалоба ТУ ФАУГИ.","Кассация","10/24/12 00:00:00","10:50:00","19.09.2011 производство по делу прекращено, 27.04.2012 в иске отказано","Иное…","04/27/12 00:00:00",0.0000,0.0000,,,"Определение отменено, дело направлено на рассмотрение по существу ( 02.12.2011) Решение от 27.04.12 в силе (30.07.2012)","Решение, постановление в силе (31.10.2012)",,,,,,,,1138,3457
,"06/20/11 00:00:00","16-02-74/7-(129)",,,,"А40-66080/11-17-565","Спиридонов А.А.","06/20/11 00:00:00","Входящий","Кооператив ""Содружество""","Министерство культуры РФ; Москомнаследие","Росохранкультура","Иное...","признание письма Минкультуры от 26.05.2011 № 3623-01-64/05-АБ и письмо ДКН от 30.05.2011 № 16-02-74/7-1-(126)-1 и бездействия не соответствующими Федеральному закону № 73-ФЗ; устранение нарушений, определение категории строений 2 и 3",0.0000,0.0000,"Отзыв Росимущества на исковое заявление. Апелляция.Отзыв Минкультуры на апелляционную жалобу кооператива ""Содружество"".","Апелляция","05/22/12 00:00:00","14:40:00","в иске отказно","Иное...",,0.0000,0.0000,,,"Решение в силе (28.05.2012)",,,,,,,,,1139,3421
,"06/14/11 00:00:00","16-02-583/7-(11)",,,,"А40-34370/11-155-337","Рутто Д.Р.","06/03/11 00:00:00","Входящий","ДИгМ","ЗАО ""Моспромстрой""","Москомнаследие","Иное...","расторжение договора, выселение",0.0000,0.0000,"Апелляционная жалоба ДИГМ.Апелляция.Отзыв ЗАО ""Моспромстрой"" на апелляционную жалобу ДИгМ.","Апелляция","01/25/12 00:00:00","11:00:00","в иске отказано","Иное…","11/21/11 00:00:00",0.0000,0.0000,,,"решение без изменения (26.01.12)",,,,,,,,,1140,3870
,,,,,,,,,,,,,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,1141,3427
,"06/20/11 00:00:00","16-02-896/1",,,,"А40-22242/11-24-168 (н/х)","Рутто Д.Р.","06/02/11 00:00:00","Входящий","ДИгМ","Управление Росреестра по Москве","ОАО ""Городской дом""; Москомнаследие","Иное...","признание недействительным решения от 26.11.2010 № 11/149/2010-087, 088, обязание произвести государственную регистрацию",0.0000,0.0000,"Апелляционная жалоба УФСГРКИК по Москве.","Апелляция","10/27/11 00:00:00","14:40:00",,,,0.0000,0.0000,,,"Решение в силе (03.11.11)",,,,,,,,,1142,3871
,"06/21/11 00:00:00","16-02-320/0-(8)",,,,"А40-63170/11-120-489","Рутто Д.Р.","06/15/11 00:00:00","Входящий","ДИгМ","Управление Росреестра по Москве","ФАУФИ; Москомнаследие","Иное...","признание незаконным решения № 11/172/2010-694 от 28.02.2011",0.0000,0.0000,"Ходатайство Росреестра о применении последствий пропуска срока на обращение в суд, отзыв по делу.Апелляционная жалоба Управления Росреестра по Москве.Апелляция. Кассационная жалоба Управления Росреестра по Москве.Кассация.","Кассация","02/13/12 00:00:00","17:00:00","Признать незаконным отказ в государственной регистрации, обязать зарегистрировать право собственности города Москвы","Иное...","09/06/11 00:00:00",0.0000,0.0000,,,"Решение в силе (01.12.2011)","Решение и постановление в силе (20.02.2012)",,,,,,,,1143,3872
,,,,,,"2-4369/11 Замоскворецкий районный суд","Кулабухов С.В./Селиванова Е.А.","05/27/11 00:00:00","Входящий","Замоскворецкий межрайонный прокурор","ООО ""Стройдеталь""","Москомнаследие","Иное...","обязание заключить охранное обязательство",0.0000,0.0000,,"Первая инстанция (Замоскворецкий суд)","08/31/11 00:00:00","11:00:00",,,,0.0000,0.0000,,,,,,,,,,,,1144,3659
,"05/03/11 00:00:00","16-02-609/1",,,,"А40-30575/11-105-264 (н/х)"," Селиванова Е.А.","04/21/11 00:00:00","Входящий","ЗАО ""КЛУБ СОЮЗА ПИСАТЕЛЕЙ РОССИИ - ПЕГАС""","ТУ ФАУГИ","Москомнаследие","Иное...","понуждение к заключению договора аренды",0.0000,0.0000,"Апелляционная жалоба ЗАО ""Клуб Союза Писателей России - Пегас"".Кассационная жалоба ЗАО ""Клуб Союза Писателей России - Пегас"".Кассация.","Кассация","02/15/12 00:00:00","15:00:00","в иске отказано","Иное…","10/17/11 00:00:00",0.0000,0.0000,,,"Решение в силе (14.12.11)","Решение и постановление в силе (17.02.2012)",,,,,,,,1145,3473
,,,,,,"2-183/2011; 2-2160/2010 Дорогомиловский суд",,"06/23/11 00:00:00","Входящий","Гредасов А.В.","ТУ ДЗР г. Москвы в САО","Москомнаследие","Иное...","признание недействительным отказа в выдаче документов в режиме ""одного окна"" № 33-5Т9-30/09-(0)-6 от 18.08.2009",0.0000,0.0000,,"Первая инстанция (Дорогомиловский суд)","06/24/11 00:00:00","14:25:00",,,,0.0000,0.0000,,,,,,,,,,,,1146,3720
,,,,,,"2-10101/10-Одинцовский городской суд","Васильева Ю.В.","11/02/10 00:00:00","Входящий","Замоскворецкий межрайонный прокурор","Бочарова; ООО ""Стройдеталь""","Москомнаследие","Иное...","обязание заключить охранное обязательство",0.0000,0.0000,"Кассация (частная жалоба ООО ""Стройдеталь"")","Кассация Московский областной суд).","04/19/11 00:00:00","10:30:00","передано по подсудности в Тушинский районный суд","Иное...","11/30/10 00:00:00",0.0000,0.0000,,,,,,,,,,,,1147,3659
,,,,,,"2-3774/11 Гагаринский районный суд","Спиридонов А.А.","02/08/11 00:00:00","Входящий","Пресненский межрайонный прокурор","Шныпко В.А.","Москомнаследие","Иное...","обязание заключить охранное обязательство",0.0000,0.0000,,"Первая инстанция (Гагаринский суд)","07/19/11 00:00:00","10:15:00","передано по подсудности в Измайловский районный суд","Иное...","06/01/11 00:00:00",0.0000,0.0000,,,,,,,,,,,,1148,3847
,,,,,,"Пресненский районный суд","Кулабухов С.В.","02/08/11 00:00:00","Входящий","Пресненский межрайонный прокурор","Задорожный В.Н.","Москомнаследие","Иное...","обязание заключить охранное обязательство",0.0000,0.0000,,"Первая инстанция (Пресненский суд)","06/01/11 00:00:00",,"передано по подсудности в Хамовнический районный суд","Иное...","06/01/11 00:00:00",0.0000,0.0000,,,,,,,,,,,,1149,3847
,,,,,,"2-2919/11 Головинский районный суд","Спиридонов А.А.","02/08/11 00:00:00","Входящий","Пресненский межрайонный прокурор","Небога И.К.","Москомнаследие","Иное...","обязание заключить охранное обязательство",0.0000,0.0000,,"Первая инстанция (Головинский суд)","08/02/11 00:00:00","12:00:00","оставлено без рассмотрения","Иное...","08/02/11 00:00:00",0.0000,0.0000,,,,,,,,,,,,1150,3847
,,,,,,"2-2230/11 Хамовнический районный суд","Спиридонов А.А.","02/08/11 00:00:00","Входящий","Пресненский межрайонный прокурор","Чания В.С.","Москомнаследие","Иное…","обязание заключить охранное обязательство",0.0000,0.0000,,"Первая инстанция (Хамовнический суд)","07/28/11 00:00:00","15:30:00",,,,0.0000,0.0000,,,,,,,,,,,,1151,3847
,,,,,,"2-2922/11 Головинский районный суд","Аксенова К.Ю.","02/08/11 00:00:00","Входящий","Пресненский межрайонный прокурор","Адамов","Москомнаследие","Иное…","обязание заключить охранное обязательство",0.0000,0.0000,"Заявление от 16.04.12 об отмене и пересмотре заочного решения","Первая инстанция (Головинский районный суд)","06/20/12 00:00:00","15:00:00",,,,0.0000,0.0000,,,,,,,,,,,,1152,3847
,"07/13/11 00:00:00","16-02-1102/7-(32)",,,,"А40-26720/11-64-230","Рутто Д.Р.","07/13/11 00:00:00","Входящий","ЗАО ""Ферро-Строй""","Правительство Москвы","Префектура ЦАО г.Москвы; Москомнаследие","Иное…","обязание подписать акт о результатах реализации инвестиционного проекта",0.0000,0.0000,"Определением Ас от 06.07.11 привлечены по делу в качестве 3-го лица.Ходатайство ЗАО ""Ферро-Строй"" об уточнении предмета исковых требований.Апелляционная жалоба ЗАО ""Ферро-Строй"".Апелляционная жалоба ПМ.Апелляция.Отзыв ЗАО ""Ферро-Строй"" на апелляционную жалобу ПМ.Заявление ЗАО ""Ферро-Строй"" о наложении штрафа на ПМ за неисполнение судебного акта.Кассационная жалоба ПМ.Определение об отказе в исправлении описки в решении от 27.09.2011.Кассация. Отзыв ЗАО ""Ферро-Строй"" на кассационную жалобу ПМ. Отказ от иска.","Первая инстанция","08/15/12 00:00:00","13:00:00","Исковые требования удовлетворены, обязать ПМ подписать Акт о результатах частичной реализации инвестиционного  проекта. Отказ от иска.",,,0.0000,0.0000,,,"Решение в силе (09.12.2011)","Решение, постановление отменены, дело направлено на новое рассмотрение (26.03.2012)",,,,,,,,1153,3863
,,,,,,"2-5157/11 Симоновский районный суд","Спиридонов А.А.","02/08/11 00:00:00","Входящий","Пресненский межрайонный прокурор","Ахмеджанова Р.У.","Москомнаследие","Иное…","обязание заключить охранное обязательство",0.0000,0.0000,,"Первая инстанция (Симоновский районный суд)","10/27/11 00:00:00","12:30:00","иск удовлетворен","Иное…","10/27/11 00:00:00",0.0000,0.0000,,,,,,,,,,,,1154,3847
,,,,,,,,,,,,,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,1155,3764
,,,,,,,,,,,,,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,1156,3401
,,,,,,"2-3360/11 Бутырский районный суд","Спиридонов А.А.","02/08/11 00:00:00","Входящий","Пресненский межрайонный прокурор","Марушина Е.Н.","Москомнаследие","Иное…","обязание заключить охранное обязательство",0.0000,0.0000,,"Первая инстанция (Бутырский районный суд)","08/25/11 00:00:00","9:00:00","иск удовлетворен","Иное...","08/25/11 00:00:00",0.0000,0.0000,,,,,,,,,,,,1157,3847
,,,,,,"2-3824/11 Кунцевский районный суд","Спиридонов А.А. / Селиванова Е.А.","02/08/11 00:00:00","Входящий","Пресненский межрайонный прокурор","Фукс Е.В.","Москомнаследие","Иное…","обязание заключить охранное обязательство",0.0000,0.0000,,"Первая инстанция (Кунцевский районный суд)","09/27/11 00:00:00","14:30:00","удовлетворено","Иное…","09/27/11 00:00:00",0.0000,0.0000,,,,,,,,,,,,1158,3847
,,,,,,"2-5218 /11 Черёмушкинский районный суд (н/х)","Меркулова Т.В. / Селиванова Е.А.","02/08/11 00:00:00","Входящий","Пресненский межрайонный прокурор","Макагон М.Т.","Москомнаследие","Иное…","обязание заключить охранное обязательство",0.0000,0.0000,,"Первая инстанция (Черёмушскинский районный суд)","11/14/11 00:00:00","9:00:00",,,,0.0000,0.0000,,,,,,,,,,,,1159,3847
,"07/14/11 00:00:00","16-02-645/9-(14)",,,,"2-2208/11 (Таганский районный суд г.Москвы)","Селиванова Е.А.","02/18/11 00:00:00","Входящий","Таганский межрайонный прокурор г.Москвы","ООО ""Армелас""","Москомнаследие, Департамент земельных ресурсов","Снос самовольной постройки","признание пристройки к зданию, летнее кафе самовольной постройкой; обязание демонтажа указанных объектов.",0.0000,0.0000,"Кассация.","Кассация","01/24/12 00:00:00","14:10:00","иск удовлетворен","Иное...","10/21/11 00:00:00",0.0000,0.0000,,,,"Решение в силе",,,,,,,,1160,3873
